Unnamed: 0,id,lyrics,is_english,genres_list,popularity,release_date,artist_id,artist_name,artist_popularity,artist_followers,artist_picture_url
0,5FDh0G5oQ2UD9JxWiDCT1x,paper doll come try it on step out of that black chiffon here s a dress of gold and blue sure was fun being good to you this one we made just for fall and winter runs a bit too small this mint green is new for spring my love didn t cost a thing you re like twenty two girls in one and none of them know what they re running from was it just too far to fall for a little paper doll fold a scarf moroccan red tie your hair behind your head strap into some heels that hurt you shoulda kept my undershirt you re like twenty two girls in one and none of them know what they re running from was it just too far to fall for a little paper doll cut the cord and pull some strings make yourself some angel wings and if those angel wings don t fly someone s going to paint you another sky  cause you re like twenty two girls in one and none of them know what they re running from was it just too far to fall was it just too far to fall 13,True,,,,,,,,
1,6XK6Zw6JkFsHXzAcMWNiIr,on my way on my way on my way on my way i would like to reach out my hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah well pick me up with golden hand and oombayseeyou oombaytellyou to run omabadee seemoobadeeyah well i would like to hold my little hand and we will run we will we will crawl we will i would like to hold my little hand and we will run we will we will crawl send me on my way send me on my way send me on my way send me on my way send me on my way send me on my way send me on my way mm hmm  i would like to reach out my hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah now pick me up with golden hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah well i would like to hold my little hand and we will run we will we will crawl we will i would like to hold my little hand and we will run we will we will crawl send me on my way send me on my way send me on my way mm hmm whoo ha ha ha well i would like to hold my little hand and we will run we will we will crawl we will i would like to hold my little hand and we will run we will we will crawl send me on my way send me on my way send me on my way on my way send me on my way send me on my way ooh ooh ooh ooh ooh ooh ooh ooh on my way ooh ooh ooh ooh ooh ooh ooh on my way i would like to reach out my hand oombayseeyou oombaytellyou to run omabadee seemoobadeeyah thank you thank you thank you very much14,True,,,,,,,,
2,7GX5flRQZVHRAGd6B4TmDO,are you alright i m alright i m quite alright and my money s right 8 countin them bands all way to the top til they be fallin over countin them bands on my way to the top til we fallin over i don t really care if you cry on the real you shoulda never lied shoulda saw the way she looked me in my eyes she said baby i am not afraid to die push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge phantom that s all red inside all white like somethin you ride a sled down i just want that head my brittany got mad i m barely her man now everybody got the same swag now watch the way that i tear it down stackin my bands all the way to the top all the way til my bands fallin over every time that you leave your spot your girlfriend call me like come on over i like the way that she treat me gon leave you won t leave me i call it that casanova she say i m insane yeah i might blow my brain out xanny help the pain yeah please xanny make it go away i m committed not addicted but it keep control of me all the pain now i can t feel it i swear that it s slowin me yeah  i don t really care if you cry on the real you shoulda never lied saw the way she looked me in my eyes she said i am not afraid to die all my friends are dead push me to the edge all my friends are dead yeah ooh push me to the edge all my friends are dead yeah all my friends are dead yeah that is not your swag i swear you fake hard now these niggas wanna take my cadence rain on em thunderstorm rain on em medicine lil nigga take some fast car nascar race on em in the club ain t got no ones then we would beg them clothes from overseas got the racks and they all c notes you is not a g though lookin at you stackin all your money it all green though i was countin that and these all twenties that s a g roll she say you re the worst you re the worst i cannot die because this my universe i don t really care if you cry on the real you shoulda never lied shoulda saw the way she looked me in my eyes she said baby i am not afraid to die push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge all my friends are dead push me to the edge796,True,"['melodic rap', 'philly rap', 'rap', 'trap']",82.0,2017-08-25,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,87.0,14263609.0,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb30122c0d3ead72f96bb5ee93', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517430122c0d3ead72f96bb5ee93', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17830122c0d3ead72f96bb5ee93', 'width': 160}]"
3,73q3FpQVXWk5eSUnyo83E4,it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you baby i don t understand just why we can t be lovers things are getting out of hand trying too much but baby we can t win let it go if you want me girl let me know i am down on my knees i can t take it anymore it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you oh oh oh oh oh oh alright baby don t misunderstand what i m trying to tell ya in the corner of my mind baby it feels like we re running out of time let it go if you want me girl let me know i am down on my knees i can t take it anymore oh oh oh baby it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you tearin up my heart and soul we re apart i feel it too and no matter what i do i feel the pain with or without you tearin up my heart and soul we re apart i feel it too and no matter what i do i feel the pain with or without you it s tearin up my heart when i m with you but when we are apart i feel it too and no matter what i do i feel the pain with or without you and no matter what i do i feel the pain with or without you1,True,,,,,,,,
4,1IdTIzkTK6CcpKKgMUGbg7,some of us we re hardly ever here the rest of us we re born to disappear how do i stop myself from being just a number how will i hold my head to keep from goin under down to the wire i wanted water but i ll walk through the fire if this is what it takes to take me even higher then i ll come through like i do when the world keeps testing me testing me testing me how did they find me here what do they want from me all of these vultures hiding right outside my door i hear them whispering they re tryin to ride it out they ve never gone this long without a kill before down to the wire i wanted water but i ll walk through the fire if this is what it takes to take me even higher then i ll come through like i do when the world keeps testing me testing me testing me wheels up i got to leave this evening i can t seem to shake these vultures off of my trail power is made by power being taken so i keep on running to protect my situation down to the wire i wanted water but i ll walk through the fire if this is what it takes to take me even higher then i ll come through like i do when the world keeps testing me testing me now  ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh whatcha gonna do about it whatcha gonna do about it whatcha gonna do bout it don t give up give up don t give up give up give up don t you give up don t give up give up give up11,True,,,,,,,,
5,7IByJvSqRFltGyiiIiL4wn,you love who you love who you love you love who you love who you love my girl she isn t the one i saw coming and sometimes i don t know which way to go and i tried to run before but i m not running anymore because i ve fought against it hard enough to know that you love who you love who you love you love who you love who you love you love who you love who you love oh you can t make yourself stop dreaming who you re dreaming of if it s who you love then it s who you love my boy ain t the one that i saw coming and some have said his heart s too hard to hold and it takes a little time but you should see him when he shines you never want to let that feeling go when you love who you love who you love you love who you love who you love yeah you love who you love who you love  oh you can t make yourself stop dreaming who you re dreaming of if it s who you love then it s who you love oh you love who you love who you love you love who you love who you love you love who you love who you love oh you can t make yourself stop dreaming who you re dreaming of if it s who you love then it s who you love it s who you love who you love who you love who you love you re the one i love12,True,,,,,,,,
6,50YQFbfIVk2XMnVFKAuuib,we pick up in new york city i m tryna find a man i never got to be but when i push down on the pavement i found the whole thing so much harder than it seemed the only deal i ever signed no devil drew a dotted line the stage was set the words were mine i m not complaining whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey wake up shake it off and repeat it s just a phase it s not forever it s just a phase but i still might have a ways to go every night around this time my friends and i we treat it like a race when i really start to break it down i wouldn t trust a girl who knew about this place barking on with no one left speak softly underneath my breath hey world you ain t seen nothing yet great now it s raining  whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey wake up shake it off and repeat it s just a phase it s not forever it s just a phase but i still might have a ways to go whiskey whiskey whiskey water water water sleep dreamed somebody missed me wake up shake it off and repeat and repeat and repeat after me whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey wake up shake it off and repeat it s just a phase it s not forever it s just a phase but i still might have a ways to go whiskey whiskey whiskey water water water sleep whiskey whiskey whiskey cut me off and pour me in the street1,True,"['neo mellow', 'singer-songwriter']",48.0,2012-05-18,0hEurMDQu99nJRq8pTxO14,John Mayer,78.0,5712121.0,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb265ef5547ecff4dabd6352bf', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174265ef5547ecff4dabd6352bf', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178265ef5547ecff4dabd6352bf', 'width': 160}]"
7,69XcvSymPaTke2Qb6f3W6P,every morning when you come downstairs hair s a mess but i don t care no makeup on and shining so bright my old sweatshirt never fit so right dancing around to the radio humming the words that you don t know cross out finding an angel off my list thinking that it don t get no better than this you make loving you easy you make loving you all i wanna do every little smile and every single touch reminds me just how much it all makes loving you easy wrapped around me late at night pillow talk by candle light gonna slow this down and make it last the best things fly by us so fast you make loving you easy you make loving you all i wanna do every little smile and every single touch reminds me just how much it all makes oh i wanna sing it again you make loving you easy you make loving you all i wanna do every little smile and every single touch reminds me just how much it all makes loving you easy easy easy2,True,,,,,,,,
8,4bWlAEbGHhPKQNjhTstN2p,so we live in our old van travel all across this land me and you we ll end up hand in hand somewhere down on the sand just me and you just as free free as we ll ever be just as free free as we ll ever be we drive until the city lights dissolve into a country sky just me and you lay underneath the harvest moon do all the things that lovers do just me and you just as free free as we ll ever be just as free free as we ll ever be no we don t have a lot of money no we don t have a lot of money no we don t have a lot of money all we need is love just as free free as we ll ever be just as free free as we ll ever be  so we live in our old van travel all across this land me and you4,True,,,,,,,,
9,3VgYGwa03GGyYwKjHtJqrQ,i don t need no doctor cause i know what s ailing me i don t need no doctor cause i know what s ailing me i ve been too long away from my baby yeah i m coming down with a misery i don t need no doctor for my prescription to be filled no no no i don t need no doctor for my prescription to be filled yeah only my baby s arms could ever could ever take away this chill now the doctor say i need rest for i need is her tenderness he put me on the critical list when all i need is her sweet kiss he gave me a medicated lotion but it didn t soothe my emotion yeah i don t need no doctor for my hope to live is gone no no i don t need no doctor for my hope to live is gone all i need is my baby please won t you please just come on home come on home,True,,,,,,,,
